Name,Score,Type,Episodes,Aired,Studios,Premiered
Chihayafuru 3,8.45,TV,24,"Oct 23, 2019 to Mar 25, 2020",Madhouse,Fall 2019
Kimi ni Todoke 3rd Season,8.45,ONA,5,"Aug 1, 2024",Production I.G,N/A
Owarimonogatari,8.45,TV,12,"Oct 4, 2015 to Dec 20, 2015",Shaft,Fall 2015
Pluto,8.45,ONA,8,"Oct 26, 2023",Studio M2,N/A
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,Movie,1,"Apr 20, 2013",White Fox,N/A
Spy x Family,8.44,TV,12,"Apr 9, 2022 to Jun 25, 2022",Wit Studio,Spring 2022
Chainsaw Man,8.44,TV,12,"Oct 12, 2022 to Dec 28, 2022",MAPPA,Fall 2022
Doupo Cangqiong: Nian Fan,8.44,ONA,209,"Jul 31, 2022 to ?",Motion Magic,N/A
Grand Blue,8.44,TV,12,"Jul 14, 2018 to Sep 29, 2018",Zero-G,Summer 2018
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,8.44,TV,24,"Jan 10, 2015 to Jun 20, 2015",David Production,Winter 2015
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.44,TV,16,"Oct 2, 2024 to Mar 26, 2025",White Fox,Fall 2024
Zoku Owarimonogatari,8.43,TV,6,"May 19, 2019 to Jun 23, 2019",Shaft,Spring 2019
Golden Kamuy 3rd Season,8.43,TV,12,"Oct 5, 2020 to Dec 21, 2020",Geno Studio,Fall 2020
Haikyuu!!,8.43,TV,25,"Apr 6, 2014 to Sep 21, 2014",Production I.G,Spring 2014
Hunter x Hunter,8.43,TV,62,"Oct 16, 1999 to Mar 31, 2001",Nippon Animation,Fall 1999
Bungou Stray Dogs 4th Season,8.42,TV,13,"Jan 4, 2023 to Mar 29, 2023",Bones,Winter 2023
Gintama: Yorinuki Gintama-san on Theater 2D,8.42,Movie,2,"Aug 26, 2012",Sunrise,N/A
Karakai Jouzu no Takagi-san Movie,8.42,Movie,1,"Jun 10, 2022",Shin-Ei Animation,N/A
Kimetsu no Yaiba,8.42,TV,26,"Apr 6, 2019 to Sep 28, 2019",ufotable,Spring 2019
Kono Oto Tomare! Part 2,8.42,TV,13,"Oct 6, 2019 to Dec 29, 2019",Platinum Vision,Fall 2019
Koukaku Kidoutai: Stand Alone Complex,8.42,TV,26,"Oct 1, 2002 to Oct 1, 2003",Production I.G,Fall 2002
Mushishi Zoku Shou: Odoro no Michi,8.42,TV Special,1,"Aug 20, 2014",Artland,N/A
Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,Movie,1,"Sep 29, 2018",Shuka,N/A
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.42,TV,12,"Jan 6, 2021 to Mar 24, 2021",White Fox,Winter 2021
Shingeki no Kyojin: Kuinaki Sentaku,8.42,OVA,2,"Dec 9, 2014 to Apr 9, 2015",Wit Studio,N/A
Tian Guan Cifu,8.42,ONA,11,"Oct 31, 2020 to Jan 2, 2021",Haoliners Animation League,N/A
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.42,Movie,1,"Sep 6, 2019",Kyoto Animation,N/A
Wu Liuqi: Xuanwu Guo Pian,8.42,ONA,10,"Jan 21, 2021 to May 5, 2021",Sharefun Studio,N/A
Saenai Heroine no Sodatekata Fine,8.41,Movie,1,"Oct 26, 2019",CloverWorks,N/A
